exp=20, L=32, B=16, G=512
0 1077871 0.8701s 0.8708s
0 1077871 0.8704s 0.8716s
0 1077871 0.8707s 0.8701s
exp=24, L=256, B=64, G=16384
0 1077871 0.7179s 0.7167s
1 1077871 0.7166s 0.7167s
1 1077871 0.7159s 0.7201s
0 1077871 0.7199s 0.7183s
1 1077871 0.7176s 0.7167s
1 1077871 0.7169s 0.7173s
0 1077871 0.7186s 0.7176s
0 1077871 0.7199s 0.7173s
1 1077871 0.7172s 0.7193s
1 1077871 0.7165s 0.7170s
exp=24, L=256, B=128, G=32768
0 1077871 0.6308s 0.6281s
0 1077871 0.6358s 0.6295s
1 1077871 0.6348s 0.6349s
1 1077871 0.6366s 0.6351s
0 1077871 0.6307s 0.6283s
0 1077871 0.6299s 0.6280s
1 1077871 0.6300s 0.6301s
0 1077871 0.6366s 0.6353s
1 1077871 0.6369s 0.6364s
1 1077871 0.6388s 0.6349s
exp=24, L=256, B=256, G=65536
1 1077871 0.6041s 0.6027s
1 1077871 0.6037s 0.6025s
1 1077871 0.6025s 0.6046s
1 1077871 0.6072s 0.6079s
0 1077871 0.6103s 0.6098s
0 1077871 0.6103s 0.6073s
0 1077871 0.6117s 0.6110s
0 1077871 0.6095s 0.6105s
0 1077871 0.6091s 0.6085s
1 1077871 0.6027s 0.6011s
exp=24, L=512, B=16, G=8192
1 1077871 1.0267s 1.0242s
0 1077871 1.0282s 1.0244s
0 1077871 1.0269s 1.0232s
1 1077871 1.0266s 1.0234s
0 1077871 1.0298s 1.0313s
1 1077871 1.0357s 1.0325s
1 1077871 1.0277s 1.0232s
1 1077871 1.0268s 1.0245s
1 1077871 1.0280s 1.0319s
0 1077871 1.0354s 1.0320s
exp=24, L=512, B=32, G=16384
1 1077871 0.7759s 0.7780s
1 1077871 0.7796s 0.7804s
1 1077871 0.7894s 0.7981s
0 1077871 0.7781s 0.7776s
1 1077871 0.7776s 0.7775s
0 1077871 0.7783s 0.7785s
0 1077871 0.7785s 0.7778s
1 1077871 0.7785s 0.7780s
1 1077871 0.7786s 0.7783s
1 1077871 0.7790s 0.7780s
exp=24, L=512, B=64, G=32768
1 1077871 0.6241s 0.6236s
1 1077871 0.6233s 0.6233s
1 1077871 0.6245s 0.6239s
1 1077871 0.6245s 0.6241s
1 1077871 0.6237s 0.6237s
1 1077871 0.6245s 0.6237s
1 1077871 0.6238s 0.6230s
1 1077871 0.6286s 0.6232s
0 1077871 0.6256s 0.6237s
